Gene	Cluster_00	Cluster_01	Cluster_02	Cluster_03	Cluster_04	Cluster_05	Cluster_06	Cluster_07	Cluster_08	Cluster_09	Cluster_10	Cluster_11	Cluster_12	Cluster_13	Cluster_14	Cluster_15	Cluster_16	Cluster_17	Cluster_18	Cluster_19	Cluster_20	Cluster_21	Cluster_22	Cluster_23	Cluster_24	Cluster_25	Cluster_26	Cluster_27	Cluster_28	Cluster_29	Cluster_30	Cluster_31	Total_Up_Regulated
CDK2AP2	1	1	0	1	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	1	1	1	0	1	0	17
C11orf52	0	0	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	0	0	0	1	0	17
TBRG1	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0	17
VPS26B	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	1	0	17
ANKRD52	0	0	0	0	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	17
TMEM233	0	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	1	0	0	0	1	0	17
POMP	0	0	0	1	0	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	1	1	1	1	0	1	0	17
TRIM13	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	0	1	1	0	1	1	0	0	1	0	0	1	1	0	0	1	0	17
PYGL	1	1	0	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	1	1	0	17
TC2N	1	1	0	0	0	0	1	1	1	1	1	0	1	0	1	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	17
NTAN1	0	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	17
TBC1D10B	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	0	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	17
IRX3	0	0	0	0	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	17
KIF1C	0	0	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0	1	0	0	0	1	0	17
TUBG1	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	0	0	0	17
KPNB1	0	1	0	1	0	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	1	1	1	0	0	1	0	17
ZNF652	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	17
TRIM47	1	1	0	1	0	0	1	1	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	1	1	1	17
LDLRAD4	0	0	0	0	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	1	1	17
GALNT1	0	0	0	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	17
DPP9	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	17
KEAP1	0	0	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	0	0	0	1	0	17
FAM32A	0	1	0	1	0	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	1	1	1	1	0	1	0	17
NFKBIB	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	0	0	1	0	17
FIZ1	0	0	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	0	0	1	0	17
UBE2M	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	1	1	1	1	0	1	0	17
C20orf24	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	17
TP53RK	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	0	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	0	17
NCOA3	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	1	0	1	1	1	0	0	0	0	17
UFD1L	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	0	1	0	17
PICK1	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	0	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	0	17
PPARA	0	0	0	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	17
DIAPH2	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0	17
ACSL4	0	1	0	1	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	17
CD99L2	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	0	1	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	17
ABCD1	0	1	0	1	0	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	1	1	1	0	0	1	0	17
MTATP6P1	0	0	0	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	1	1	0	1	0	0	0	0	1	0	0	1	1	1	16
SSU72	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	0	1	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	16
UBR4	0	1	0	1	0	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	1	1	0	0	0	1	0	16
PSMB2	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	1	1	1	1	0	1	0	16
STK40	0	0	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	16
NRDC	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	1	1	1	0	0	1	0	16
USP24	0	0	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	16
PSMA5	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	1	1	1	1	0	1	0	16
CSDE1	0	0	0	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	16
TBX15	0	0	0	1	0	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	16
S100A13	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	0	16
DCAF6	0	0	0	0	1	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	16
DDX59	0	0	0	1	0	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	0	1	0	16
UBE2T	0	0	0	0	1	1	0	1	0	0	0	1	1	1	0	1	0	1	1	1	0	1	1	0	0	0	1	0	1	1	1	0	16
TMEM183A	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	1	1	1	1	1	0	1	0	16
STUM	1	1	0	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	16
OBSCN	0	0	0	0	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	16
C1orf198	0	0	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	16
SIPA1L2	1	1	0	1	0	0	1	0	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	1	1	0	16
GREB1	1	1	0	1	0	0	0	0	1	1	1	0	1	1	1	0	1	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	16
EML6	0	0	0	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	16
NPAS2	0	0	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	16
TTL	0	0	0	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	16
FAM168B	0	0	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	0	0	1	1	0	0	0	1	0	16
PSMD14	0	0	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	0	0	1	1	1	0	0	1	0	16
ARL8B	0	0	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	0	0	1	1	1	0	0	1	0	16
FGD5.AS1	0	0	0	1	0	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	16
ENTPD3.AS1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	0	1	0	1	1	1	0	1	0	0	0	0	1	0	1	0	1	1	16
