Genes	BaseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AS3MT	405.489772593126	0.00104918654571275	0.000274309462401387	3.82482812123162	0.000130863351685135	0.000299116232423165
CNNM2	405.489772593126	-0.000713629500132392	0.000624388089628266	-1.14292618963513	0.253069237774377	0.323928624351203
NT5C2	405.489772593126	0.000108771171979286	7.99242325155015e-05	1.3609285764263	0.173536261782271	0.222126415081307
PCGF6	NA	NA	NA	NA	NA	NA
TAF5	405.489772593126	-0.00361825165808376	0.000545581431735517	-6.63191862408871	3.3135125391129e-11	1.06032401251613e-09
USMG5	NA	NA	NA	NA	NA	NA
PDCD11	405.489772593126	-0.000150455514266984	5.02028100324244e-05	-2.99695403842552	0.00272691823224996	0.00484785463511104
CALHM2	NA	NA	NA	NA	NA	NA
NEURL1	405.489772593126	-3.22656923063982e-05	2.51166347266765e-05	-1.28463437309651	0.198920081209913	0.268463858627687
SH3PXD2A	405.489772593126	-5.84869470294204e-05	2.37809256684317e-05	-2.45940582149247	0.013916720562221	0.0342565429223901
STN1	405.489772593126	-0.000189329414008189	0.000212647056053461	-0.890345803614561	0.373280233736239	0.442406202946653
SLK	405.489772593126	-0.000142417438916845	4.25753388338737e-05	-3.34506883133798	0.000822621525235499	0.00496940420481864
GSTO1	405.489772593126	2.89937086672917e-05	4.47484184399015e-05	0.647927003414234	0.517032164398869	0.590893902170136
ITPRIP	NA	NA	NA	NA	NA	NA
XPNPEP1	405.489772593126	-0.000349550487752388	8.31513267119814e-05	-4.2037872584181	2.62485659213793e-05	0.000125033631680574
ADD3	405.489772593126	-0.000217291384174058	0.000138737491666326	-1.56620522372323	0.117300580197349	0.151744738783329
MXI1	405.489772593126	-0.00023405330262898	4.83803351100897e-05	-4.83777762382982	1.3129891950459e-06	1.40052180804896e-05
SMNDC1	405.489772593126	-0.000521881404864149	0.000117291078975204	-4.44945523072966	8.60883719523484e-06	0.000261017672282387
DUSP5	405.489772593126	0.000335908352955894	0.00048250439701953	0.696176770679869	0.486318133225642	0.555792152257876
SMC3	405.489772593126	-0.000433372917499902	8.86150500788773e-05	-4.89051145504236	1.00574305227046e-06	1.25109531902061e-05
RBM20	405.489772593126	-0.000148935702343639	6.72459029916059e-05	-2.21479221361976	0.0267743299186754	0.122396936771087
PDCD4	405.489772593126	8.80414385838968e-05	0.000218517777120532	0.402902865588524	0.687019683174371	0.70918160843806
BBIP1	405.489772593126	-0.00303295107870847	0.000505575641473862	-5.99900554913358	1.98529574564288e-09	1.5882365965143e-08
SHOC2	405.489772593126	-0.000408915687489101	0.000107527553044677	-3.80289215099315	0.000143016626704445	0.00228826602727113
GPAM	405.489772593126	-7.47796145234132e-05	0.000116653821185229	-0.641038705493192	0.521497535994782	0.560178266067661
ACSL5	405.489772593126	-0.0010542528004933	0.000624978846836435	-1.68686157272329	0.0916299725754971	0.11277535086215
ZDHHC6	405.489772593126	-0.000786365105919718	0.000251316468969694	-3.12898358449618	0.00175412107596768	0.00374212496206437
VTI1A	405.489772593126	-0.00100471075676628	0.000231658420173808	-4.33703534718258	1.44417407131311e-05	0.000231067851410097
RP11.57H14.4	405.489772593126	-0.00068272490229231	0.000410022156806222	-1.66509270525829	0.0958942618639865	0.191788523727973
TCF7L2	405.489772593126	-0.000432806802723499	0.000309010082980836	-1.40062356072161	0.161326671628407	0.215102228837876
NRAP	405.489772593126	1.56007528998486e-06	6.2811792048428e-07	2.4837299480041	0.0130014363105736	0.0260028726211472
CASP7	405.489772593126	-0.00071268381677407	0.000193113509335893	-3.69049176945181	0.000223820931143496	0.000511590699756563
DCLRE1A	405.489772593126	-0.000531120513657493	0.000321691017051477	-1.65102687207614	0.0987330879405122	0.175153158246252
NHLRC2	405.489772593126	-0.000176322690714653	6.09100231231904e-05	-2.89480584103605	0.00379393119179994	0.0172081732421399
CCDC186	405.489772593126	-0.000335262865005185	0.000179276407064	-1.87008915727265	0.0614714379216169	0.115710941970102
AFAP1L2	405.489772593126	-0.000901130681871659	0.000502704766168074	-1.79256442850271	0.0730425985159116	0.146085197031823
ABLIM1	405.489772593126	-4.13370640970012e-05	7.39054359463759e-06	-5.59323729948557	2.22874343460766e-08	1.78299474768613e-07
FAM160B1	405.489772593126	-0.000191029422589727	6.57965023746409e-05	-2.90333704217313	0.00369209058280429	0.00889636208995167
TRUB1	405.489772593126	-0.000875713034886404	0.000433600258789445	-2.0196321776451	0.0434215548776855	0.126317250553267
ATRNL1	405.489772593126	0.00103474092007125	0.000282322742860278	3.66509941632067	0.000247242521777906	0.000608596976684077
GFRA1	405.489772593126	-0.000692252902578476	0.000137176800467922	-5.04642840638608	4.50145458534168e-07	1.60051718589926e-06
HSPA12A	405.489772593126	-0.00129992329332011	0.000305774791545859	-4.25124414850643	2.12586268087931e-05	0.000180333613012594
PDZD8	405.489772593126	-0.000277738840512545	0.000153720957076281	-1.80677277708285	0.070797714943582	0.292570474902582
EMX2OS	405.489772593126	-0.00109904871559168	0.000428466234607831	-2.56507660772295	0.0103153027341283	0.0253915144224696
RAB11FIP2	405.489772593126	-0.00111453676836066	0.000264983076010209	-4.20606774267245	2.59852372401821e-05	0.000277175863895276
FAM204A	405.489772593126	-0.000389472197177618	9.08888876019417e-05	-4.28514648439044	1.82618821648867e-05	0.000116876045855275
CACUL1	405.489772593126	-0.000226664568847697	7.12887048073113e-05	-3.17952990533853	0.00147514147181542	0.0094409054196187
NANOS1	NA	NA	NA	NA	NA	NA
EIF3A	405.489772593126	-1.83546869592336e-05	6.28944540556755e-06	-2.91833155002596	0.00351909954761753	0.0102373805021601
FAM45A	405.489772593126	-0.000754770968062486	0.000298308997156003	-2.5301649472804	0.0114008915298534	0.0364828528955308
SFXN4	NA	NA	NA	NA	NA	NA
PRDX3	405.489772593126	-1.15459574476043e-05	1.88576986356958e-05	-0.612267576794813	0.54036073780262	0.665059369603225
GRK5	405.489772593126	-0.000793214048066529	0.000228481653386776	-3.4716750177038	0.000517222059210752	0.00112244908737047
RGS10	NA	NA	NA	NA	NA	NA
TIAL1	405.489772593126	-0.000304955989338939	4.68164617005078e-05	-6.51386239502229	7.32425987042812e-11	2.343763158537e-09
BAG3	405.489772593126	-1.59319358804097e-05	5.09923787427511e-06	-3.12437589169627	0.00178182671179618	0.0175224355513685
INPP5F	405.489772593126	-0.000894828673603411	0.000234838174656443	-3.81040550546138	0.000138739035538408	0.000554956142153632
MCMBP	405.489772593126	-0.00020663634792258	8.10523669915222e-05	-2.54941780965131	0.010790294188362	0.0191827452237546
SEC23IP	405.489772593126	-0.000425429161102799	0.000138108213282774	-3.08040449579737	0.00206719639179564	0.0110250474229101
WDR11	NA	NA	NA	NA	NA	NA
ATE1	405.489772593126	-0.000273530545216967	8.29520650509902e-05	-3.29745311402229	0.000975659625186681	0.00520351800099563
NSMCE4A	NA	NA	NA	NA	NA	NA
